payment_id,ride_id,payment_method,payment_status,tip_amount
P00078,R00078,Debit Card,Failed,75.41
P00079,R00079,Debit Card,Pending,149.11
P00080,R00080,Debit Card,Failed,12.05
P00081,R00081,Debit Card,Failed,23.53
P00082,R00082,Cash,Success,59.7
P00083,R00083,Credit Card,Success,108.99
P00084,R00084,Credit Card,Failed,21.91
P00085,R00085,UPI,Success,124.5
P00086,R00086,UPI,Pending,70.0
P00087,R00087,Debit Card,Success,3.66
P00088,R00088,Credit Card,Pending,135.07
P00089,R00089,Credit Card,Failed,56.75
P00090,R00090,Cash,Pending,35.33
P00091,R00091,UPI,Pending,10.9
P00092,R00092,Debit Card,Pending,99.4
P00093,R00093,Cash,Success,89.81
P00094,R00094,UPI,Pending,131.41
P00095,R00095,UPI,Failed,63.0
P00096,R00096,Debit Card,Success,105.42
P00097,R00097,Debit Card,Pending,64.01
P00098,R00098,Cash,Success,130.75
P00099,R00099,UPI,Pending,100.04
P00100,R00100,Credit Card,Pending,57.65
P00101,R00101,UPI,Failed,15.54
P00102,R00102,Debit Card,Failed,116.49
P00103,R00103,UPI,Success,10.44
P00104,R00104,Cash,Success,64.24
P00105,R00105,Debit Card,Pending,10.51
P00106,R00106,Debit Card,Success,5.39
P00107,R00107,Debit Card,Success,141.97
P00108,R00108,Debit Card,Failed,109.96
P00109,R00109,UPI,Success,19.74
P00110,R00110,Credit Card,Failed,43.52
P00111,R00111,Cash,Success,11.22
P00112,R00112,UPI,Failed,140.51
P00113,R00113,Debit Card,Failed,96.75
P00114,R00114,Credit Card,Success,47.93
P00115,R00115,Debit Card,Pending,23.97
P00116,R00116,Debit Card,Success,6.59
P00117,R00117,UPI,Pending,60.13
P00118,R00118,Cash,Failed,107.47
P00119,R00119,Debit Card,Pending,77.98
P00120,R00120,Credit Card,Pending,11.24
P00121,R00121,Debit Card,Success,81.94
P00122,R00122,Cash,Success,139.85
P00123,R00123,Credit Card,Failed,91.61
P00124,R00124,Cash,Failed,148.3
P00125,R00125,Credit Card,Success,69.54
P00126,R00126,UPI,Pending,94.86
P00127,R00127,Cash,Pending,129.34
P00128,R00128,Debit Card,Success,63.18
P00129,R00129,Credit Card,Pending,134.8
P00130,R00130,UPI,Pending,94.43
P00131,R00131,Debit Card,Success,139.71
P00132,R00132,Credit Card,Failed,29.97
P00133,R00133,Credit Card,Pending,49.25
P00134,R00134,Cash,Pending,38.61
P00135,R00135,Credit Card,Failed,73.14
P00136,R00136,Debit Card,Pending,110.7
P00137,R00137,Cash,Pending,97.24
P00138,R00138,Credit Card,Success,144.54
P00139,R00139,UPI,Failed,73.07
P00140,R00140,UPI,Success,92.42
P00141,R00141,UPI,Failed,113.73
P00142,R00142,Debit Card,Pending,149.47
P00143,R00143,UPI,Success,79.29
P00144,R00144,UPI,Success,39.17
P00145,R00145,UPI,Failed,138.46
P00146,R00146,Debit Card,Success,111.21
P00147,R00147,Credit Card,Failed,26.11
P00148,R00148,Credit Card,Failed,114.98
P00149,R00149,Cash,Pending,133.9
P00150,R00150,Debit Card,Success,103.46
P00151,R00151,Cash,Success,45.42
P00152,R00152,Cash,Failed,68.93
P00153,R00153,Debit Card,Pending,103.32
P00154,R00154,UPI,Success,49.65
P00155,R00155,Credit Card,Failed,62.37
P00156,R00156,Credit Card,Success,79.93
P00157,R00157,UPI,Pending,47.25
P00158,R00158,UPI,Success,23.21
P00159,R00159,Credit Card,Success,16.91
P00160,R00160,UPI,Success,98.48
P00161,R00161,Debit Card,Success,96.89
P00162,R00162,Credit Card,Pending,64.29
P00163,R00163,Debit Card,Failed,122.19
P00164,R00164,Cash,Pending,122.81
P00165,R00165,UPI,Failed,32.96
P00166,R00166,Debit Card,Success,66.18
P00167,R00167,Cash,Failed,143.15
P00168,R00168,Cash,Pending,33.27
P00169,R00169,Credit Card,Pending,71.04
P00170,R00170,Debit Card,Pending,50.69
P00171,R00171,Debit Card,Success,22.48
P00172,R00172,Cash,Failed,6.28
P00173,R00173,Cash,Failed,73.95
P00174,R00174,Credit Card,Failed,84.47
P00175,R00175,Credit Card,Pending,112.33
P00176,R00176,Cash,Success,64.51
P00177,R00177,Cash,Failed,77.58
P00178,R00178,Debit Card,Pending,72.3
P00179,R00179,Credit Card,Success,30.78
P00180,R00180,Cash,Failed,37.45
P00181,R00181,UPI,Pending,29.18
P00182,R00182,UPI,Success,100.47
P00183,R00183,Debit Card,Pending,133.91
P00184,R00184,UPI,Success,148.5
P00185,R00185,Credit Card,Pending,8.39
P00186,R00186,UPI,Pending,146.44
P00187,R00187,UPI,Failed,29.8
P00188,R00188,Cash,Failed,8.07
P00189,R00189,Debit Card,Failed,56.03
P00190,R00190,Debit Card,Pending,79.09
P00191,R00191,Debit Card,Success,143.09
P00192,R00192,Credit Card,Pending,135.63
P00193,R00193,Cash,Success,84.78
P00194,R00194,Debit Card,Pending,99.2
P00195,R00195,Debit Card,Failed,45.22
P00196,R00196,Credit Card,Success,26.47
P00197,R00197,Cash,Pending,96.33
P00198,R00198,UPI,Success,56.09
P00199,R00199,Cash,Failed,26.99
P00200,R00200,UPI,Pending,86.48
P00201,R00201,Cash,Success,130.27
P00202,R00202,Credit Card,Failed,55.63
P00203,R00203,UPI,Failed,5.32
P00204,R00204,UPI,Failed,127.91
P00205,R00205,Cash,Success,133.47
P00206,R00206,UPI,Pending,129.29
P00207,R00207,Cash,Success,53.29
P00208,R00208,Cash,Failed,15.2
P00209,R00209,Cash,Success,78.45
P00210,R00210,UPI,Success,120.58
P00211,R00211,Debit Card,Pending,112.02
P00212,R00212,UPI,Failed,92.51
P00213,R00213,UPI,Failed,108.29
P00214,R00214,Credit Card,Success,117.48
P00215,R00215,UPI,Pending,138.91
P00216,R00216,Cash,Success,129.31
P00217,R00217,Debit Card,Failed,30.89
P00218,R00218,Cash,Failed,87.11
P00219,R00219,Cash,Failed,16.8
P00220,R00220,Credit Card,Success,93.72
P00221,R00221,Credit Card,Failed,52.56
P00222,R00222,Credit Card,Failed,122.03
P00223,R00223,Credit Card,Success,106.77
P00224,R00224,Cash,Success,56.22
P00225,R00225,Credit Card,Failed,33.81
P00226,R00226,Cash,Success,32.25
P00227,R00227,Cash,Success,74.55
P00228,R00228,Cash,Failed,60.69
P00229,R00229,Debit Card,Pending,49.97
P00230,R00230,Cash,Success,21.51
P00231,R00231,Debit Card,Failed,132.76
P00232,R00232,Cash,Failed,148.96
P00233,R00233,Cash,Pending,7.65
P00234,R00234,Cash,Failed,1.17
P00235,R00235,Cash,Failed,91.27
P00236,R00236,Debit Card,Failed,77.91
P00237,R00237,Credit Card,Failed,126.1
P00238,R00238,Cash,Failed,113.94
P00239,R00239,UPI,Pending,20.94
P00240,R00240,UPI,Success,62.98
P00241,R00241,Cash,Success,105.13
P00242,R00242,UPI,Success,67.9
P00243,R00243,Debit Card,Success,114.97
P00244,R00244,UPI,Failed,61.95
P00245,R00245,Cash,Failed,3.92
P00246,R00246,Cash,Pending,84.99
P00247,R00247,Credit Card,Pending,28.63
P00248,R00248,Cash,Pending,93.88
P00249,R00249,Credit Card,Failed,70.64
P00250,R00250,UPI,Failed,80.5
P00251,R00251,Debit Card,Success,72.43
P00252,R00252,Debit Card,Failed,115.06
P00253,R00253,UPI,Pending,22.96
P00254,R00254,Cash,Failed,117.93
P00255,R00255,Credit Card,Pending,7.43
P00256,R00256,UPI,Failed,40.21
P00257,R00257,Credit Card,Pending,112.14
P00258,R00258,Cash,Failed,81.85
P00259,R00259,Credit Card,Pending,81.12
P00260,R00260,UPI,Failed,37.73
P00261,R00261,Cash,Success,142.37
P00262,R00262,Credit Card,Failed,98.39
P00263,R00263,Debit Card,Success,53.53
P00264,R00264,Cash,Failed,90.14
P00265,R00265,UPI,Success,88.72
P00266,R00266,Debit Card,Failed,49.33
P00267,R00267,Credit Card,Failed,35.2
P00268,R00268,Credit Card,Success,109.62
P00269,R00269,UPI,Success,41.77
P00270,R00270,Debit Card,Pending,64.02
P00271,R00271,Credit Card,Failed,140.26
P00272,R00272,Cash,Pending,139.17
P00273,R00273,Cash,Failed,122.72
P00274,R00274,UPI,Success,64.57
P00275,R00275,Credit Card,Success,9.84
P00276,R00276,Credit Card,Success,129.15
P00277,R00277,Credit Card,Failed,111.12
P00278,R00278,UPI,Pending,110.3
P00279,R00279,Cash,Failed,19.74
P00280,R00280,UPI,Success,5.32
P00281,R00281,UPI,Success,29.99
P00282,R00282,UPI,Pending,88.92
P00283,R00283,Credit Card,Success,118.34
P00284,R00284,Debit Card,Failed,102.69
P00285,R00285,Debit Card,Success,37.25
P00286,R00286,Credit Card,Pending,0.95
P00287,R00287,Debit Card,Success,76.32
P00288,R00288,Cash,Pending,8.88
P00289,R00289,UPI,Pending,1.03
P00290,R00290,UPI,Failed,37.62
P00291,R00291,Cash,Pending,55.54
P00292,R00292,Credit Card,Pending,133.47
P00293,R00293,UPI,Pending,45.99
P00294,R00294,Credit Card,Failed,92.93
P00295,R00295,Debit Card,Success,102.97
P00296,R00296,Credit Card,Failed,105.27
P00297,R00297,Credit Card,Success,128.01
P00298,R00298,UPI,Pending,11.8
P00299,R00299,Debit Card,Success,77.2
P00300,R00300,UPI,Success,60.12
P00301,R00301,Credit Card,Pending,4.29
P00302,R00302,Cash,Failed,128.13
P00303,R00303,Debit Card,Failed,40.85
P00304,R00304,Debit Card,Success,82.64
P00305,R00305,UPI,Pending,84.14
P00306,R00306,UPI,Success,34.42
P00307,R00307,UPI,Pending,105.04
P00308,R00308,Credit Card,Success,5.68
P00309,R00309,Credit Card,Failed,32.45
P00310,R00310,Credit Card,Failed,62.65
P00311,R00311,UPI,Failed,4.62
P00312,R00312,UPI,Failed,24.43
P00313,R00313,UPI,Failed,59.95
P00314,R00314,Debit Card,Success,13.12
P00315,R00315,UPI,Success,36.85
P00316,R00316,Credit Card,Success,80.43
P00317,R00317,Cash,Pending,79.67
P00318,R00318,Credit Card,Failed,139.71
P00319,R00319,UPI,Failed,61.37
P00320,R00320,Cash,Failed,141.02
P00321,R00321,Cash,Pending,46.79
P00322,R00322,Credit Card,Pending,91.83
P00323,R00323,UPI,Success,101.12
P00324,R00324,UPI,Success,31.39
P00325,R00325,Cash,Success,129.04
P00326,R00326,Debit Card,Success,95.89
P00327,R00327,Credit Card,Pending,144.41
P00328,R00328,Cash,Pending,44.35
P00329,R00329,UPI,Failed,6.97
P00330,R00330,Debit Card,Pending,31.21
P00331,R00331,Credit Card,Pending,60.0
P00332,R00332,Cash,Pending,37.06
P00333,R00333,Cash,Success,66.42
P00334,R00334,Debit Card,Success,77.4
P00335,R00335,Credit Card,Pending,21.54
P00336,R00336,UPI,Failed,143.27
P00337,R00337,UPI,Success,21.06
P00338,R00338,Debit Card,Pending,42.76
P00339,R00339,Debit Card,Success,0.56
P00340,R00340,UPI,Failed,79.46
P00341,R00341,Credit Card,Success,72.26
P00342,R00342,Debit Card,Pending,7.09
P00343,R00343,Debit Card,Failed,68.62
P00344,R00344,Credit Card,Failed,65.86
P00345,R00345,UPI,Pending,14.51
P00346,R00346,Credit Card,Success,57.46
P00347,R00347,UPI,Success,93.73
P00348,R00348,Credit Card,Success,66.71
P00349,R00349,Cash,Pending,86.96
P00350,R00350,Credit Card,Failed,140.01
P00351,R00351,Cash,Success,134.58
P00352,R00352,UPI,Failed,18.8
P00353,R00353,UPI,Failed,67.56
P00354,R00354,UPI,Failed,57.01
P00355,R00355,UPI,Failed,121.92
P00356,R00356,Debit Card,Pending,80.54
P00357,R00357,UPI,Pending,126.12
P00358,R00358,UPI,Failed,71.11
P00359,R00359,Credit Card,Success,118.13
P00360,R00360,UPI,Failed,90.53
P00361,R00361,Credit Card,Failed,90.9
P00362,R00362,UPI,Success,118.71
P00363,R00363,Debit Card,Failed,76.39
P00364,R00364,Credit Card,Success,121.5
P00365,R00365,Cash,Failed,113.86
P00366,R00366,Debit Card,Failed,87.22
P00367,R00367,Credit Card,Success,91.92
P00368,R00368,Credit Card,Failed,37.53
P00369,R00369,Debit Card,Pending,53.93
P00370,R00370,Debit Card,Failed,119.37
P00371,R00371,UPI,Pending,40.02
P00372,R00372,UPI,Success,148.4
P00373,R00373,Cash,Success,77.04
P00374,R00374,Cash,Success,30.45
P00375,R00375,UPI,Failed,4.15
P00376,R00376,Credit Card,Pending,103.59
P00377,R00377,UPI,Pending,73.87
P00378,R00378,UPI,Failed,9.66
P00379,R00379,Debit Card,Failed,74.68
P00380,R00380,Credit Card,Success,116.92
P00381,R00381,Cash,Success,59.43
P00382,R00382,Debit Card,Pending,10.2
P00383,R00383,UPI,Success,114.03
P00384,R00384,UPI,Pending,56.95
P00385,R00385,UPI,Failed,140.25
P00386,R00386,UPI,Success,106.12
P00387,R00387,Cash,Pending,54.34
P00388,R00388,UPI,Success,79.65
P00389,R00389,Cash,Failed,77.63
P00390,R00390,Credit Card,Failed,57.62
P00391,R00391,UPI,Failed,44.12
P00392,R00392,UPI,Success,133.83
P00393,R00393,UPI,Failed,128.34
P00394,R00394,Debit Card,Failed,3.57
P00395,R00395,UPI,Pending,32.19
P00396,R00396,Debit Card,Failed,48.8
P00397,R00397,Debit Card,Success,45.41
P00398,R00398,Debit Card,Failed,84.57
P00399,R00399,Cash,Pending,103.07
P00400,R00400,Cash,Success,77.47
P00401,R00401,Cash,Pending,139.6
P00402,R00402,Debit Card,Success,110.72
P00403,R00403,Debit Card,Pending,33.41
P00404,R00404,Cash,Pending,97.08
P00405,R00405,UPI,Pending,15.9
P00406,R00406,Debit Card,Failed,54.36
P00407,R00407,Debit Card,Pending,10.83
P00408,R00408,Debit Card,Success,73.94
P00409,R00409,Debit Card,Pending,85.91
P00410,R00410,Cash,Success,61.61
P00411,R00411,Credit Card,Failed,101.84
P00412,R00412,Cash,Pending,8.63
P00413,R00413,Debit Card,Pending,146.88
P00414,R00414,Debit Card,Failed,32.02
P00415,R00415,Credit Card,Success,17.49
P00416,R00416,Debit Card,Success,122.94
P00417,R00417,Cash,Success,57.69
P00418,R00418,Cash,Pending,67.88
P00419,R00419,Credit Card,Success,62.9
P00420,R00420,Credit Card,Failed,64.79
P00421,R00421,UPI,Success,18.21
P00422,R00422,Credit Card,Success,111.12
P00423,R00423,UPI,Failed,105.07
P00424,R00424,Credit Card,Failed,134.59
P00425,R00425,UPI,Pending,98.7
P00426,R00426,Cash,Failed,15.01
P00427,R00427,Credit Card,Failed,57.07
P00428,R00428,Cash,Failed,114.3
P00429,R00429,Cash,Pending,66.92
P00430,R00430,Credit Card,Pending,67.72
P00431,R00431,Cash,Pending,130.97
P00432,R00432,Credit Card,Success,56.54
P00433,R00433,UPI,Failed,127.48
P00434,R00434,Cash,Failed,11.39
P00435,R00435,Cash,Pending,65.13
P00436,R00436,Debit Card,Failed,126.1
P00437,R00437,Cash,Success,144.91
P00438,R00438,UPI,Failed,121.41
P00439,R00439,UPI,Pending,132.59
P00440,R00440,Cash,Pending,14.06
P00441,R00441,Debit Card,Success,9.91
P00442,R00442,Credit Card,Failed,72.93
P00443,R00443,UPI,Failed,54.23
P00444,R00444,Debit Card,Success,111.77
P00445,R00445,Cash,Failed,41.08
P00446,R00446,Credit Card,Pending,94.97
P00447,R00447,Debit Card,Success,1.07
P00448,R00448,Cash,Pending,128.13
P00449,R00449,Debit Card,Failed,22.42
P00450,R00450,UPI,Pending,47.32
P00451,R00451,Debit Card,Pending,56.86
P00452,R00452,UPI,Success,0.23
P00453,R00453,Cash,Success,40.75
P00454,R00454,UPI,Failed,83.52
P00455,R00455,Debit Card,Failed,89.72
P00456,R00456,Debit Card,Pending,99.36
P00457,R00457,Credit Card,Success,23.84
P00458,R00458,Debit Card,Failed,54.58
P00459,R00459,UPI,Failed,45.77
P00460,R00460,Credit Card,Pending,70.93
P00461,R00461,Debit Card,Failed,10.23
P00462,R00462,Cash,Failed,88.37
P00463,R00463,Credit Card,Pending,90.22
P00464,R00464,Credit Card,Success,101.85
P00465,R00465,Cash,Failed,10.96
P00466,R00466,Credit Card,Pending,19.6
P00467,R00467,Cash,Pending,77.65
P00468,R00468,Debit Card,Failed,59.98
P00469,R00469,Debit Card,Failed,127.97
P00470,R00470,Credit Card,Success,136.21
P00471,R00471,Cash,Failed,136.74
P00472,R00472,Cash,Failed,4.92
P00473,R00473,Debit Card,Failed,97.7
P00474,R00474,UPI,Pending,87.22
P00475,R00475,Cash,Pending,44.3
P00476,R00476,Credit Card,Pending,77.44
P00477,R00477,Credit Card,Pending,96.27
P00478,R00478,Debit Card,Failed,57.89
P00479,R00479,Cash,Success,63.82
P00480,R00480,UPI,Failed,49.37
P00481,R00481,Debit Card,Pending,83.82
P00482,R00482,Debit Card,Failed,72.63
P00483,R00483,Credit Card,Success,67.21
P00484,R00484,Debit Card,Success,46.86
P00485,R00485,Cash,Pending,1.46
P00486,R00486,Cash,Failed,3.24
P00487,R00487,Credit Card,Failed,25.72
P00488,R00488,Credit Card,Pending,64.35
P00489,R00489,UPI,Failed,49.16
P00490,R00490,Debit Card,Success,147.33
P00491,R00491,Debit Card,Success,67.63
P00492,R00492,Credit Card,Success,25.01
P00493,R00493,Debit Card,Success,40.08
P00494,R00494,Credit Card,Pending,15.81
P00495,R00495,UPI,Failed,58.49
P00496,R00496,UPI,Failed,113.8
P00497,R00497,Credit Card,Failed,7.68
P00498,R00498,Debit Card,Pending,86.02
P00499,R00499,Credit Card,Success,67.14
P00500,R00500,Debit Card,Success,111.39
P00501,R00501,Cash,Success,57.64
P00502,R00502,UPI,Pending,1.44
P00503,R00503,Credit Card,Pending,60.79
P00504,R00504,Debit Card,Pending,70.99
P00505,R00505,Cash,Failed,82.62
P00506,R00506,Debit Card,Pending,32.77
P00507,R00507,Cash,Success,105.16
P00508,R00508,Credit Card,Success,120.7
P00509,R00509,Debit Card,Pending,96.94
P00510,R00510,Debit Card,Pending,72.61
P00511,R00511,Credit Card,Failed,108.36
P00512,R00512,Debit Card,Failed,112.29
P00513,R00513,Cash,Failed,27.12
P00514,R00514,Cash,Success,4.58
P00515,R00515,Debit Card,Success,86.99
P00516,R00516,Credit Card,Failed,84.63
P00517,R00517,Cash,Failed,15.36
P00518,R00518,Credit Card,Failed,137.15
P00519,R00519,Credit Card,Failed,14.59
P00520,R00520,Debit Card,Failed,61.75
P00521,R00521,Debit Card,Success,125.89
P00522,R00522,Debit Card,Success,14.33
P00523,R00523,Cash,Pending,18.52
P00524,R00524,Credit Card,Failed,90.95
P00525,R00525,Debit Card,Failed,46.49
P00526,R00526,UPI,Failed,68.07
P00527,R00527,Debit Card,Success,135.76
P00528,R00528,Credit Card,Pending,118.06
P00529,R00529,Cash,Failed,73.56
P00530,R00530,UPI,Success,52.98
P00531,R00531,UPI,Pending,121.39
P00532,R00532,Credit Card,Pending,148.04
P00533,R00533,Cash,Pending,108.31
P00534,R00534,Debit Card,Pending,113.06
P00535,R00535,Cash,Pending,65.4
P00536,R00536,UPI,Success,100.54
P00537,R00537,UPI,Success,98.08
P00538,R00538,Cash,Pending,149.63
P00539,R00539,UPI,Success,137.35
P00540,R00540,Credit Card,Success,9.5
P00541,R00541,Debit Card,Pending,113.22
P00542,R00542,Credit Card,Success,8.99
P00543,R00543,Debit Card,Pending,125.15
P00544,R00544,Debit Card,Pending,71.61
P00545,R00545,Credit Card,Pending,126.18
P00546,R00546,Credit Card,Pending,132.9
P00547,R00547,Cash,Failed,13.95
P00548,R00548,UPI,Pending,107.98
P00549,R00549,UPI,Failed,141.09
P00550,R00550,UPI,Pending,8.05
P00551,R00551,Cash,Pending,3.09
P00552,R00552,Cash,Success,71.05
P00553,R00553,Credit Card,Success,93.74
P00554,R00554,UPI,Pending,86.65
P00555,R00555,Debit Card,Failed,124.44
P00556,R00556,UPI,Pending,66.98
P00557,R00557,Credit Card,Pending,48.51
P00558,R00558,Cash,Failed,3.75
P00559,R00559,Credit Card,Success,15.34
P00560,R00560,Credit Card,Pending,51.42
P00561,R00561,Debit Card,Pending,99.54
P00562,R00562,Credit Card,Failed,51.25
P00563,R00563,Cash,Failed,67.46
P00564,R00564,UPI,Pending,78.65
P00565,R00565,Debit Card,Pending,55.51
P00566,R00566,Debit Card,Failed,115.83
P00567,R00567,Cash,Success,22.23
P00568,R00568,UPI,Pending,62.38
P00569,R00569,Credit Card,Failed,40.32
P00570,R00570,UPI,Success,53.28
P00571,R00571,Debit Card,Failed,83.81
P00572,R00572,Cash,Pending,66.11
P00573,R00573,Credit Card,Failed,88.96
P00574,R00574,UPI,Failed,140.08
P00575,R00575,Debit Card,Failed,1.72
P00576,R00576,Credit Card,Failed,121.86
P00577,R00577,Debit Card,Success,88.79
P00578,R00578,Credit Card,Pending,69.32
P00579,R00579,Debit Card,Pending,43.24
P00580,R00580,UPI,Pending,84.04
P00581,R00581,UPI,Pending,134.15
P00582,R00582,UPI,Failed,77.43
P00583,R00583,UPI,Pending,2.39
P00584,R00584,Debit Card,Success,11.45
P00585,R00585,UPI,Success,110.07
P00586,R00586,UPI,Success,103.15
P00587,R00587,Credit Card,Failed,29.94
P00588,R00588,Credit Card,Pending,74.07
P00589,R00589,UPI,Success,2.84
P00590,R00590,Debit Card,Success,106.81
P00591,R00591,Debit Card,Failed,83.4
P00592,R00592,Cash,Failed,91.64
P00593,R00593,Debit Card,Failed,137.32
P00594,R00594,Cash,Pending,62.02
P00595,R00595,Credit Card,Success,18.48
P00596,R00596,Debit Card,Pending,28.14
P00597,R00597,Cash,Success,101.21
P00598,R00598,Credit Card,Success,22.39
P00599,R00599,Cash,Pending,34.32
P00600,R00600,Cash,Success,117.08
P00601,R00601,UPI,Success,6.74
P00602,R00602,Debit Card,Success,50.42
P00603,R00603,Cash,Success,149.94
P00604,R00604,Cash,Failed,38.98
P00605,R00605,Credit Card,Success,54.69
P00606,R00606,Debit Card,Failed,147.86
P00607,R00607,Credit Card,Pending,18.47
P00608,R00608,UPI,Pending,45.47
P00609,R00609,Cash,Pending,73.71
P00610,R00610,Credit Card,Success,117.85
P00611,R00611,Credit Card,Success,61.37
P00612,R00612,UPI,Pending,39.0
P00613,R00613,UPI,Success,19.99
P00614,R00614,UPI,Success,13.44
P00615,R00615,Credit Card,Pending,79.99
P00616,R00616,UPI,Success,146.45
P00617,R00617,Cash,Failed,66.21
P00618,R00618,Cash,Pending,116.36
P00619,R00619,Debit Card,Success,34.34
P00620,R00620,Cash,Pending,91.29
P00621,R00621,Cash,Pending,107.22
P00622,R00622,Cash,Pending,106.34
P00623,R00623,UPI,Pending,23.6
P00624,R00624,UPI,Failed,37.79
P00625,R00625,Debit Card,Success,134.17
P00626,R00626,Credit Card,Success,72.79
P00627,R00627,Cash,Failed,85.48
P00628,R00628,Debit Card,Success,52.34
P00629,R00629,Debit Card,Pending,108.95
P00630,R00630,Cash,Failed,107.87
P00631,R00631,Cash,Failed,104.94
P00632,R00632,Credit Card,Pending,70.92
P00633,R00633,Debit Card,Failed,103.34
P00634,R00634,Debit Card,Pending,110.54
P00635,R00635,Debit Card,Pending,126.59
P00636,R00636,Cash,Failed,95.3
P00637,R00637,Debit Card,Pending,112.57
P00638,R00638,Debit Card,Pending,106.98
P00639,R00639,Cash,Failed,130.38
P00640,R00640,Cash,Failed,21.75
P00641,R00641,UPI,Pending,29.92
P00642,R00642,UPI,Failed,35.65
P00643,R00643,Cash,Failed,113.63
P00644,R00644,Cash,Pending,135.27
P00645,R00645,Debit Card,Success,145.92
P00646,R00646,Cash,Success,120.87
P00647,R00647,Debit Card,Pending,127.02
P00648,R00648,Credit Card,Pending,133.48
P00649,R00649,UPI,Pending,115.02
P00650,R00650,Cash,Success,10.91
P00651,R00651,Credit Card,Success,43.87
P00652,R00652,UPI,Pending,96.33
P00653,R00653,UPI,Pending,52.02
P00654,R00654,UPI,Success,76.63
P00655,R00655,UPI,Success,126.52
P00656,R00656,Credit Card,Pending,72.89
P00657,R00657,Credit Card,Success,41.96
P00658,R00658,Debit Card,Success,123.18
P00659,R00659,UPI,Failed,109.12
P00660,R00660,Cash,Pending,149.04
P00661,R00661,UPI,Success,43.96
P00662,R00662,Cash,Failed,144.87
P00663,R00663,Debit Card,Pending,124.13
P00664,R00664,UPI,Failed,2.4
P00665,R00665,Credit Card,Pending,34.7
P00666,R00666,Cash,Pending,146.64
P00667,R00667,UPI,Success,116.35
P00668,R00668,Credit Card,Success,30.03
P00669,R00669,Credit Card,Success,117.86
P00670,R00670,UPI,Failed,10.35
P00671,R00671,Credit Card,Pending,149.35
P00672,R00672,Credit Card,Failed,53.82
P00673,R00673,UPI,Success,107.66
P00674,R00674,Debit Card,Failed,55.95
