ride_id,customer_id,driver_id,pickup_datetime,drop_datetime,pickup_location,drop_location,distance_km,fare,payment_method,ride_status
R00038,C0102,D0476,2025-11-23 03:19:04.148791,2025-11-23 04:42:04.148791,Hospital,Mall,2.41,96.38,UPI,Completed
R00039,C0328,D0277,2026-01-13 19:48:04.148813,2026-01-13 20:46:04.148813,Airport,Bus Stand,7.33,189.94,Cash,Cancelled
R00040,C0708,D0241,2025-08-30 11:48:04.148834,2025-08-30 12:26:04.148834,City Center,Bus Stand,11.43,268.74,Debit Card,Completed
R00041,C0512,D0313,2026-03-08 22:29:04.148856,2026-03-08 22:54:04.148856,Railway Station,Mall,12.1,308.8,Cash,Completed
R00042,C0275,D0217,2026-07-31 06:12:04.148878,2026-07-31 06:52:04.148878,IT Park,Mall,28.4,570.2,Cash,Completed
R00043,C0519,D0386,2026-01-14 16:26:04.148900,2026-01-14 16:49:04.148900,Railway Station,IT Park,16.75,373.5,Cash,Cancelled
R00044,C0815,D0246,2026-06-19 01:46:04.148921,2026-06-19 02:24:04.148921,Bus Stand,Airport,18.98,436.64,Credit Card,Completed
R00045,C0072,D0364,2025-08-16 14:42:04.148950,2025-08-16 15:16:04.148950,Metro Station,City Center,26.75,505.5,Credit Card,Cancelled
R00046,C0295,D0022,2025-12-17 00:34:04.149163,2025-12-17 01:46:04.149163,Railway Station,Bus Stand,28.55,546.9,Cash,Cancelled
R00047,C0944,D0052,2026-01-29 10:17:04.149236,2026-01-29 11:19:04.149236,Hospital,Railway Station,24.71,529.78,Credit Card,Cancelled
R00048,C0985,D0261,2025-10-04 21:23:04.149276,2025-10-04 21:55:04.149276,Residential Area,Railway Station,9.63,201.34,Cash,Cancelled
R00049,C0085,D0279,2025-08-27 09:37:04.149301,2025-08-27 10:17:04.149301,Hospital,Airport,12.49,315.82,Credit Card,Cancelled
R00050,C0365,D0128,2025-12-05 22:19:04.149324,2025-12-05 22:47:04.149324,Airport,Mall,27.63,550.34,Credit Card,Completed
R00051,C0964,D0187,2026-03-01 19:48:04.149348,2026-03-01 20:40:04.149348,Mall,IT Park,13.62,271.16,UPI,Cancelled
R00052,C0061,D0006,2026-02-04 06:41:04.149371,2026-02-04 07:49:04.149371,Bus Stand,University,7.19,211.42,Debit Card,Completed
R00053,C0314,D0466,2026-08-02 06:42:04.149393,2026-08-02 07:02:04.149393,Metro Station,Metro Station,13.55,303.9,UPI,Completed
R00054,C0260,D0183,2026-05-07 15:55:04.149417,2026-05-07 16:47:04.149417,Railway Station,Hospital,7.8,188.4,Credit Card,Completed
R00055,C0846,D0487,2026-01-30 03:45:04.149444,2026-01-30 04:35:04.149444,Hospital,IT Park,14.03,335.54,Credit Card,Completed
R00056,C0260,D0458,2025-12-06 05:20:04.149466,2025-12-06 06:04:04.149466,City Center,IT Park,9.71,215.78,Debit Card,Completed
R00057,C0499,D0019,2025-12-28 15:00:04.149487,2025-12-28 15:43:04.149487,Airport,Residential Area,9.64,219.52,Debit Card,Completed
R00058,C0459,D0249,2026-04-16 01:06:04.149513,2026-04-16 02:22:04.149513,Railway Station,Airport,13.32,310.76,UPI,Completed
R00059,C0743,D0056,2026-07-05 10:47:04.149536,2026-07-05 11:58:04.149536,IT Park,Mall,7.34,199.12,Debit Card,Completed
R00060,C0429,D0097,2026-07-19 05:50:04.149558,2026-07-19 06:56:04.149558,City Center,Residential Area,9.85,232.3,Debit Card,Completed
R00061,C0030,D0038,2025-12-17 22:34:04.149581,2025-12-17 22:57:04.149581,Hospital,Railway Station,10.07,268.26,Cash,Completed
R00062,C0085,D0229,2025-10-27 15:56:04.149607,2025-10-27 17:22:04.149607,Hospital,Bus Stand,6.6,175.8,UPI,Completed
R00063,C0605,D0232,2026-05-28 01:26:04.149630,2026-05-28 02:20:04.149630,IT Park,IT Park,5.45,174.1,Cash,Cancelled
R00064,C0673,D0194,2025-09-02 15:03:04.149652,2025-09-02 16:07:04.149652,Railway Station,Airport,27.96,574.28,Credit Card,Completed
R00065,C0337,D0401,2025-11-06 17:26:04.149675,2025-11-06 18:34:04.149675,Bus Stand,Metro Station,4.96,118.28,Cash,Cancelled
R00066,C0872,D0086,2025-12-30 01:41:04.149697,2025-12-30 01:58:04.149697,Railway Station,Residential Area,17.81,401.58,Credit Card,Completed
R00067,C0220,D0233,2026-07-21 05:52:04.149722,2026-07-21 06:29:04.149722,Airport,Mall,23.74,454.32,Credit Card,Cancelled
R00068,C0705,D0402,2025-08-31 09:39:04.149746,2025-08-31 11:02:04.149746,University,Metro Station,10.23,257.14,Debit Card,Cancelled
R00069,C0655,D0451,2026-07-10 04:41:04.149769,2026-07-10 05:07:04.149769,Bus Stand,City Center,11.13,290.34,UPI,Cancelled
R00070,C0564,D0485,2025-09-09 12:48:04.149791,2025-09-09 13:58:04.149791,Hospital,Residential Area,7.36,229.48,Debit Card,Completed
R00071,C0173,D0120,2026-03-05 17:17:04.149812,2026-03-05 18:37:04.149812,University,Airport,6.5,211.0,UPI,Completed
R00072,C0703,D0113,2026-03-04 13:50:04.149835,2026-03-04 14:52:04.149835,Residential Area,Bus Stand,27.2,528.6,Credit Card,Cancelled
R00073,C0344,D0167,2026-03-16 20:06:04.149857,2026-03-16 21:26:04.149857,Metro Station,City Center,18.6,380.8,Credit Card,Completed
R00074,C0885,D0252,2026-03-19 06:25:04.149879,2026-03-19 07:51:04.149879,IT Park,Metro Station,26.27,567.86,Debit Card,Completed
R00075,C0264,D0332,2026-07-16 02:03:04.149901,2026-07-16 02:25:04.149901,City Center,Airport,4.25,105.5,Cash,Cancelled
R00076,C0336,D0064,2026-03-28 04:51:04.149922,2026-03-28 05:57:04.149922,Railway Station,Airport,27.96,599.28,Credit Card,Completed
R00077,C0336,D0334,2026-02-14 18:38:04.149944,2026-02-14 19:46:04.149944,Mall,Airport,10.57,252.26,UPI,Cancelled
R00078,C0455,D0193,2025-12-08 12:46:04.149970,2025-12-08 13:23:04.149970,Residential Area,IT Park,2.12,109.16,Debit Card,Cancelled
R00079,C0648,D0090,2025-12-14 09:09:04.149993,2025-12-14 09:39:04.149993,City Center,Bus Stand,26.61,554.98,Debit Card,Completed
R00080,C0363,D0011,2025-10-19 17:27:04.150015,2025-10-19 18:48:04.150015,Metro Station,Metro Station,24.67,520.06,Debit Card,Completed
R00081,C0765,D0122,2026-05-29 10:55:04.150038,2026-05-29 11:29:04.150038,Residential Area,Residential Area,20.66,408.88,Debit Card,Completed
R00082,C0013,D0097,2025-12-15 22:26:04.150060,2025-12-15 22:55:04.150060,Airport,IT Park,11.08,248.44,Cash,Completed
R00083,C0474,D0324,2025-09-20 02:34:04.150094,2025-09-20 03:49:04.150094,Bus Stand,Residential Area,5.82,167.76,Credit Card,Cancelled
R00084,C0029,D0239,2026-03-15 07:47:04.150118,2026-03-15 08:45:04.150118,IT Park,Bus Stand,7.48,208.64,Credit Card,Completed
R00085,C0973,D0016,2025-08-22 00:57:04.150140,2025-08-22 02:25:04.150140,Airport,Airport,27.39,592.02,UPI,Cancelled
R00086,C0058,D0462,2026-02-18 17:42:04.150162,2026-02-18 19:01:04.150162,Railway Station,Hospital,17.6,400.8,UPI,Completed
R00087,C0305,D0171,2026-05-21 09:19:04.150185,2026-05-21 10:45:04.150185,Bus Stand,Hospital,23.29,501.22,Debit Card,Completed
R00088,C0432,D0471,2026-07-27 15:30:04.150221,2026-07-27 15:46:04.150221,City Center,Mall,13.69,268.42,Credit Card,Cancelled
R00089,C0205,D0271,2026-07-21 05:20:04.150245,2026-07-21 05:58:04.150245,Bus Stand,Residential Area,28.08,595.44,Credit Card,Cancelled
R00090,C0548,D0178,2025-09-14 00:24:04.150266,2025-09-14 01:06:04.150266,City Center,Metro Station,5.24,154.32,Cash,Cancelled
R00091,C0705,D0260,2025-12-05 18:39:04.150288,2025-12-05 20:07:04.150288,Hospital,Bus Stand,12.77,312.86,UPI,Cancelled
R00092,C0706,D0116,2025-11-12 07:08:04.150312,2025-11-12 08:33:04.150312,Hospital,Metro Station,23.14,510.52,Debit Card,Cancelled
R00093,C0381,D0165,2026-05-24 15:38:04.150334,2026-05-24 15:52:04.150334,IT Park,Hospital,3.19,148.42,Cash,Cancelled
R00094,C0550,D0013,2025-09-05 19:26:04.150356,2025-09-05 19:38:04.150356,Railway Station,Residential Area,5.4,120.2,UPI,Cancelled
R00095,C0663,D0150,2026-04-23 05:43:04.150378,2026-04-23 06:09:04.150378,Bus Stand,Hospital,21.25,467.5,UPI,Cancelled
R00096,C0776,D0325,2026-06-15 13:26:04.150400,2026-06-15 14:41:04.150400,Residential Area,Bus Stand,3.36,113.48,Debit Card,Completed
R00097,C0848,D0300,2025-09-28 19:38:04.150422,2025-09-28 21:06:04.150422,Bus Stand,IT Park,15.94,383.92,Debit Card,Completed
R00098,C0137,D0125,2026-06-18 12:39:04.150445,2026-06-18 13:52:04.150445,Bus Stand,IT Park,4.06,100.08,Cash,Cancelled
R00099,C0233,D0435,2025-11-02 13:05:04.150468,2025-11-02 13:38:04.150468,City Center,Bus Stand,10.34,210.12,UPI,Completed
R00100,C0194,D0275,2025-08-08 05:57:04.150490,2025-08-08 06:35:04.150490,Railway Station,Railway Station,21.71,410.78,Credit Card,Cancelled
R00101,C0847,D0054,2026-05-13 22:00:04.150511,2026-05-13 23:15:04.150511,Railway Station,Metro Station,29.21,617.78,UPI,Completed
R00102,C0039,D0040,2025-08-11 22:07:04.150533,2025-08-11 22:52:04.150533,Metro Station,Residential Area,6.29,202.22,Debit Card,Cancelled
R00103,C0275,D0414,2026-06-28 03:03:04.150554,2026-06-28 04:29:04.150554,IT Park,Airport,9.99,205.82,UPI,Completed
R00104,C0562,D0482,2025-12-03 05:46:04.150576,2025-12-03 07:02:04.150576,Hospital,University,22.75,434.5,Cash,Cancelled
R00105,C0404,D0300,2026-01-15 23:52:04.150607,2026-01-16 00:22:04.150607,IT Park,City Center,16.32,345.76,Debit Card,Completed
R00106,C0410,D0061,2025-08-31 04:03:04.150629,2025-08-31 04:23:04.150629,Metro Station,Railway Station,10.87,295.66,Debit Card,Cancelled
R00107,C0817,D0103,2025-10-26 00:33:04.150657,2025-10-26 01:36:04.150657,Airport,Mall,19.95,452.1,Debit Card,Cancelled
R00108,C0508,D0030,2026-04-26 06:56:04.150683,2026-04-26 07:48:04.150683,Mall,Mall,26.28,526.04,Debit Card,Cancelled
R00109,C0011,D0129,2026-07-11 17:38:04.150706,2026-07-11 18:48:04.150706,IT Park,Airport,18.64,397.52,UPI,Cancelled
R00110,C0795,D0043,2026-02-25 16:11:04.150728,2026-02-25 16:50:04.150728,Railway Station,University,26.07,566.26,Credit Card,Cancelled
R00111,C0922,D0082,2026-03-06 10:00:04.150751,2026-03-06 10:38:04.150751,City Center,City Center,26.01,517.18,Cash,Cancelled
R00112,C0961,D0347,2025-08-22 14:37:04.150773,2025-08-22 16:03:04.150773,Hospital,University,2.11,101.98,UPI,Completed
R00113,C0746,D0316,2025-11-12 16:18:04.150795,2025-11-12 16:50:04.150795,Railway Station,Railway Station,17.03,374.54,Debit Card,Cancelled
R00114,C0179,D0475,2026-03-18 20:46:04.150817,2026-03-18 21:18:04.150817,Hospital,Mall,6.84,169.12,Credit Card,Cancelled
R00115,C0330,D0255,2025-12-13 12:25:04.150839,2025-12-13 13:11:04.150839,Hospital,Airport,15.14,326.52,Debit Card,Cancelled
R00116,C0697,D0427,2026-07-30 15:33:04.150861,2026-07-30 16:53:04.150861,Mall,City Center,15.48,360.64,Debit Card,Completed
R00117,C0972,D0094,2026-02-15 19:27:04.150882,2026-02-15 20:03:04.150882,Bus Stand,City Center,15.58,325.44,UPI,Completed
R00118,C0036,D0240,2026-01-10 01:38:04.151049,2026-01-10 02:01:04.151049,Mall,University,3.3,148.4,Cash,Completed
R00119,C0790,D0024,2026-06-13 03:38:04.151074,2026-06-13 04:01:04.151074,Metro Station,Mall,23.19,465.42,Debit Card,Completed
R00120,C0084,D0043,2026-06-29 09:42:04.151105,2026-06-29 10:26:04.151105,City Center,Mall,22.45,438.1,Credit Card,Completed
R00121,C0368,D0153,2025-11-27 19:42:04.151127,2025-11-27 19:59:04.151127,City Center,Airport,11.0,285.0,Debit Card,Cancelled
R00122,C0102,D0270,2025-12-21 12:25:04.151151,2025-12-21 13:27:04.151151,Airport,Residential Area,22.9,506.2,Cash,Cancelled
R00123,C0468,D0134,2026-02-09 03:59:04.151174,2026-02-09 05:15:04.151174,Mall,Bus Stand,16.32,356.76,Credit Card,Completed
R00124,C0460,D0478,2026-01-20 13:19:04.151197,2026-01-20 14:49:04.151197,Railway Station,Residential Area,23.84,485.12,Cash,Completed
R00125,C0916,D0473,2025-09-18 22:01:04.151232,2025-09-18 22:39:04.151232,City Center,Metro Station,16.44,371.92,Credit Card,Completed
R00126,C0145,D0377,2025-12-03 12:53:04.151256,2025-12-03 13:27:04.151256,IT Park,Mall,6.47,189.46,UPI,Completed
R00127,C0510,D0206,2025-12-14 22:49:04.151278,2025-12-14 23:59:04.151278,Airport,Hospital,16.59,393.62,Cash,Cancelled
R00128,C0684,D0252,2026-05-09 11:25:04.151303,2026-05-09 12:01:04.151303,Metro Station,Railway Station,22.68,468.24,Debit Card,Cancelled
R00129,C0270,D0035,2026-04-07 11:01:04.151326,2026-04-07 11:41:04.151326,Metro Station,Residential Area,27.19,559.42,Credit Card,Completed
R00130,C0532,D0304,2026-03-17 19:56:04.151349,2026-03-17 20:50:04.151349,Mall,Bus Stand,26.53,550.54,UPI,Completed
R00131,C0006,D0069,2025-08-27 11:07:04.151371,2025-08-27 11:43:04.151371,Airport,IT Park,17.87,372.66,Debit Card,Cancelled
R00132,C0094,D0491,2026-02-03 13:45:04.151393,2026-02-03 15:08:04.151393,IT Park,City Center,11.65,301.7,Credit Card,Completed
R00133,C0131,D0135,2026-03-13 09:51:04.151416,2026-03-13 10:41:04.151416,Bus Stand,Bus Stand,22.89,479.02,Credit Card,Completed
R00134,C0110,D0082,2026-02-25 13:58:04.151437,2026-02-25 14:50:04.151437,IT Park,Mall,25.35,486.3,Cash,Completed
R00135,C0362,D0025,2026-07-31 09:00:04.151458,2026-07-31 09:17:04.151458,Residential Area,Residential Area,22.3,436.4,Credit Card,Cancelled
R00136,C0772,D0495,2025-09-02 11:30:04.151480,2025-09-02 12:29:04.151480,Residential Area,Hospital,11.36,251.48,Debit Card,Cancelled
R00137,C0496,D0068,2025-10-26 00:03:04.151502,2025-10-26 01:06:04.151502,Mall,University,23.36,464.48,Cash,Cancelled
R00138,C0243,D0022,2026-07-13 08:03:04.151527,2026-07-13 08:32:04.151527,Metro Station,Railway Station,11.37,239.66,Credit Card,Completed
R00139,C0670,D0291,2026-02-24 21:06:04.151549,2026-02-24 21:24:04.151549,Residential Area,Hospital,11.11,268.98,UPI,Cancelled
R00140,C0541,D0273,2025-11-17 08:19:04.151571,2025-11-17 08:51:04.151571,Mall,Mall,3.49,143.82,UPI,Cancelled
R00141,C0463,D0082,2026-02-25 13:41:04.151593,2026-02-25 14:19:04.151593,Railway Station,Mall,29.81,601.58,UPI,Completed
R00142,C0724,D0262,2025-09-25 16:34:04.151615,2025-09-25 17:17:04.151615,City Center,Railway Station,11.79,265.22,Debit Card,Completed
R00143,C0249,D0313,2025-09-28 01:26:04.151640,2025-09-28 02:32:04.151640,Residential Area,Metro Station,23.11,496.98,UPI,Cancelled
R00144,C0485,D0417,2025-10-24 16:35:04.151661,2025-10-24 17:35:04.151661,City Center,Mall,10.13,270.34,UPI,Cancelled
R00145,C0328,D0258,2025-09-02 03:05:04.151683,2025-09-02 04:13:04.151683,Bus Stand,Railway Station,6.76,144.68,UPI,Cancelled
R00146,C0409,D0380,2026-04-10 14:45:04.151704,2026-04-10 15:28:04.151704,Railway Station,Metro Station,19.37,448.66,Debit Card,Cancelled
R00147,C0381,D0176,2025-12-02 06:28:04.151725,2025-12-02 06:39:04.151725,Hospital,Mall,23.06,495.08,Credit Card,Cancelled
R00148,C0224,D0413,2025-09-01 05:39:04.151749,2025-09-01 05:51:04.151749,City Center,Airport,23.61,522.98,Credit Card,Cancelled
R00149,C0487,D0311,2026-06-09 04:48:04.151771,2026-06-09 05:26:04.151771,Residential Area,University,5.53,133.54,Cash,Cancelled
R00150,C0432,D0166,2025-12-02 01:12:04.151793,2025-12-02 02:25:04.151793,Mall,IT Park,6.14,197.52,Debit Card,Completed
R00151,C0415,D0463,2026-02-04 07:00:04.151814,2026-02-04 08:19:04.151814,Residential Area,Airport,24.22,530.96,Cash,Completed
R00152,C0924,D0167,2026-07-30 14:26:04.151835,2026-07-30 15:10:04.151835,IT Park,University,7.42,203.56,Cash,Cancelled
R00153,C0255,D0293,2026-07-02 02:04:04.151857,2026-07-02 02:41:04.151857,IT Park,Hospital,6.57,191.26,Debit Card,Completed
R00154,C0814,D0105,2026-02-09 03:01:04.151878,2026-02-09 03:14:04.151878,Bus Stand,Bus Stand,17.65,363.7,UPI,Completed
R00155,C0506,D0046,2026-06-06 20:43:04.151900,2026-06-06 22:00:04.151900,IT Park,City Center,20.53,433.54,Credit Card,Cancelled
R00156,C0875,D0368,2025-12-18 02:18:04.151921,2025-12-18 03:06:04.151921,Railway Station,Mall,12.53,323.54,Credit Card,Cancelled
R00157,C0002,D0368,2025-12-19 23:55:04.151945,2025-12-20 00:46:04.151945,Airport,Hospital,3.63,91.34,UPI,Completed
R00158,C0940,D0150,2025-12-27 07:45:04.151969,2025-12-27 08:01:04.151969,Airport,University,15.59,374.62,UPI,Completed
R00159,C0587,D0457,2026-05-02 01:26:04.151991,2026-05-02 02:40:04.151991,Bus Stand,Metro Station,4.08,171.44,Credit Card,Cancelled
R00160,C0666,D0092,2025-12-31 21:33:04.152013,2025-12-31 22:19:04.152013,Bus Stand,City Center,18.03,409.54,UPI,Completed
R00161,C0021,D0371,2025-12-03 16:43:04.152039,2025-12-03 17:17:04.152039,Residential Area,Hospital,10.2,262.6,Debit Card,Cancelled
R00162,C0581,D0335,2025-11-29 06:12:04.152064,2025-11-29 06:29:04.152064,City Center,Railway Station,6.0,152.0,Credit Card,Cancelled
R00163,C0209,D0431,2025-08-11 23:25:04.152091,2025-08-12 00:15:04.152091,IT Park,Airport,16.38,319.84,Debit Card,Cancelled
R00164,C0329,D0464,2026-05-15 08:45:04.152114,2026-05-15 10:10:04.152114,Metro Station,Railway Station,18.7,378.6,Cash,Cancelled
R00165,C0525,D0460,2026-07-22 04:24:04.152135,2026-07-22 05:11:04.152135,IT Park,Hospital,18.03,423.54,UPI,Cancelled
R00166,C0414,D0142,2025-08-31 02:58:04.152156,2025-08-31 04:19:04.152156,Residential Area,Railway Station,29.16,600.88,Debit Card,Completed
R00167,C0970,D0231,2026-04-19 20:08:04.152178,2026-04-19 20:38:04.152178,Airport,IT Park,19.36,404.48,Cash,Completed
R00168,C0030,D0077,2025-11-30 14:00:04.152202,2025-11-30 14:48:04.152202,Mall,Airport,23.61,524.98,Cash,Cancelled
R00169,C0633,D0273,2026-05-25 23:40:04.152233,2026-05-26 00:52:04.152233,Bus Stand,Railway Station,27.09,585.62,Credit Card,Cancelled
R00170,C0022,D0215,2025-08-02 19:58:04.152255,2025-08-02 21:08:04.152255,Mall,Mall,2.5,94.0,Debit Card,Completed
R00171,C0062,D0234,2026-01-20 10:06:04.152281,2026-01-20 11:28:04.152281,Bus Stand,City Center,17.76,348.68,Debit Card,Cancelled
R00172,C0670,D0467,2026-07-28 03:38:04.152308,2026-07-28 04:44:04.152308,Railway Station,Bus Stand,25.6,501.8,Cash,Completed
R00173,C0988,D0309,2026-02-05 04:22:04.152330,2026-02-05 05:43:04.152330,City Center,Railway Station,19.23,411.14,Cash,Completed
R00174,C0814,D0443,2026-07-16 21:16:04.152352,2026-07-16 22:43:04.152352,Bus Stand,University,19.5,433.0,Credit Card,Cancelled
R00175,C0219,D0335,2026-06-12 18:20:04.152374,2026-06-12 19:13:04.152374,City Center,Airport,15.68,305.24,Credit Card,Cancelled
R00176,C0350,D0013,2025-08-03 09:04:04.152395,2025-08-03 10:18:04.152395,City Center,University,21.04,405.72,Cash,Cancelled
R00177,C0671,D0398,2026-06-27 22:42:04.152417,2026-06-27 22:52:04.152417,Metro Station,IT Park,20.91,465.38,Cash,Cancelled
R00178,C0906,D0242,2026-07-14 10:28:04.152440,2026-07-14 11:29:04.152440,IT Park,Airport,27.87,598.66,Debit Card,Completed
R00179,C0261,D0252,2026-03-16 11:39:04.152463,2026-03-16 12:27:04.152463,Mall,Bus Stand,18.56,416.08,Credit Card,Completed
R00180,C0183,D0183,2026-05-29 19:52:04.152484,2026-05-29 20:07:04.152484,Residential Area,Residential Area,2.81,108.58,Cash,Completed
R00181,C0980,D0429,2025-12-25 01:53:04.152505,2025-12-25 02:47:04.152505,University,Hospital,18.76,413.68,UPI,Completed
R00182,C0539,D0496,2025-08-17 13:59:04.152526,2025-08-17 15:14:04.152526,City Center,Residential Area,22.23,453.14,UPI,Completed
R00183,C0915,D0344,2026-02-13 21:23:04.152547,2026-02-13 22:05:04.152547,University,IT Park,6.85,218.3,Debit Card,Completed
R00184,C0623,D0407,2025-11-09 16:44:04.152568,2025-11-09 17:15:04.152568,Residential Area,University,8.6,243.8,UPI,Cancelled
R00185,C0563,D0164,2025-10-11 11:35:04.152589,2025-10-11 12:41:04.152589,Residential Area,Bus Stand,15.83,323.94,Credit Card,Cancelled
R00186,C0308,D0223,2026-02-17 12:01:04.152610,2026-02-17 13:06:04.152610,Railway Station,City Center,28.48,538.64,UPI,Completed
R00187,C0228,D0423,2026-03-26 09:51:04.152631,2026-03-26 10:53:04.152631,City Center,Airport,10.84,293.12,UPI,Completed
R00188,C0313,D0255,2026-01-04 08:15:04.152654,2026-01-04 09:10:04.152654,University,Airport,21.02,452.36,Cash,Cancelled
R00189,C0990,D0265,2025-12-22 23:02:04.152675,2025-12-23 00:19:04.152675,Railway Station,University,17.88,408.84,Debit Card,Completed
R00190,C0947,D0153,2026-06-23 16:10:04.152697,2026-06-23 17:33:04.152697,IT Park,Metro Station,15.18,294.24,Debit Card,Cancelled
R00191,C0523,D0033,2025-11-20 04:57:04.152718,2025-11-20 05:45:04.152718,Airport,Railway Station,29.95,604.1,Debit Card,Cancelled
R00192,C0748,D0193,2025-11-06 00:40:04.152739,2025-11-06 02:09:04.152739,Residential Area,Residential Area,3.23,130.14,Credit Card,Completed
